line,flag_count,flags,word_count,details,input,output
68,3,conclusion_label; restatement_opener; defines_basic_terms,61,[conclusion_label] this ensures | [restatement_opener] Judge kick is legitimate because it's a logical extension of conditionality. | [defines_basic_terms] which means ,[General · theory] Why is judge kick legitimate?,"Judge kick is legitimate because it's a logical extension of conditionality. The aff's burden is to prove the plan is better than all options, not just the CP, which means the judge should evaluate the status quo if the CP is rejected. This ensures the neg can test the aff against the full range of competitive options, including the status quo."
69,2,conclusion_label; restatement_opener,58,[conclusion_label] outweighs on magnitude | [restatement_opener] The aff should get 1AR theory because the neg can engage in nearly infinite abus,[Aff · theory] Why should the aff get 1AR theory?,"The aff should get 1AR theory because the neg can engage in nearly infinite abuse, like delivering a 13-minute 1NC or stacking numerous NIBs, leaving the aff without recourse. This outweighs on magnitude and probability since it means the aff would lose every round and creates a structural incentive for the neg to be abusive in every round."
108,2,conclusion_label; restatement_opener,38,"[conclusion_label] this undermines | [restatement_opener] We should reject meta-theory because it leads to infinite regress, where debater",[General · reject meta-theory · 2NR] Why should we reject meta-theory?,"We should reject meta-theory because it leads to infinite regress, where debaters can continuously read theory on top of theory. This undermines the judge's ability to make a final decision, as it imposes a meta-constraint on their jurisdiction."
117,2,conclusion_label; restatement_opener,43,[conclusion_label] this ensures | [restatement_opener] We should preserve fidelity for the 2NR to the 1NC because unwarranted blip stor,[Aff · framework 2AR] Why should we preserve fidelity for the 2NR to the 1NC?,"We should preserve fidelity for the 2NR to the 1NC because unwarranted blip storms shouldn't be evaluated. This ensures that new 2NR claims are scrutinized, and those without warrants are rejected. Allowing otherwise turns the debate into a tricks contest, undermining substantive engagement."
151,2,filler_phrase; restatement_opener,79,"[filler_phrase] ultimately, | [restatement_opener] We should prioritize education over fairness in debate because fairness is only ",[General · fairness vs education] Why should we prioritize education over fairness in debate?,"We should prioritize education over fairness in debate because fairness is only a means to achieve educational outcomes. If a debate were fair but lacked educational value, it would serve no purpose. Education provides long-term benefits beyond debate, equipping us with skills useful in life, whereas fairness impacts only the immediate round. Debate without education is meaningless; a perfectly fair debate could be a coin flip, which teaches nothing. Ultimately, the educational benefits are why we engage in debate."
155,2,conclusion_label; filler_phrase,47,[conclusion_label] this demonstrates; which outweighs | [filler_phrase] this demonstrates,[Neg · strat skew · 2NR] Why is the aff skew incorrect?,"The aff skew is incorrect because it's empirically disproven; affs often overcome 1N shells and still win rounds with their own shell. This demonstrates that the supposed strategic disadvantage doesn't hold up in practice. Additionally, affs have the advantage of verifiability, which outweighs concerns about strat skew."
209,2,conclusion_label; restatement_opener,38,[conclusion_label] this undermines | [restatement_opener] We should reject bidirectional interpretations because they are used purely for ,[Neg · bidirectional interps] Why should we reject bidirectional interpretations?,"We should reject bidirectional interpretations because they are used purely for strategic purposes, like when debaters read ACC or straight ref bad only in difficult rounds. This undermines norming by preventing a clear set of rules for debate."
2,1,word_count,34,[word_count] 34 words (too sparse),[Neg · Representations K] Why can't the AFF weigh case against the K?,"The aff can't weigh case against the K because the K is procedural, similar to condo or disclosure. Theoretical practices, like those addressed in the K, must be resolved before substantive impacts like extinction."
10,1,conclusion_label,76,[conclusion_label] this shows that,[General · reps K] Why does winning in debate change norms?,"Winning in debate changes norms because ballots have a spillover effect that influences social practices. 1. Explanatory power: Debate is a negotiable game where victory is intertwined with social practices, as seen in the evolution of theoretical norms and the shift in K debate. This shows that successful arguments drive change. 2. Counterfactuals: Imagine if teams like Louisville, Emporia, and Rutgers never won a round. If debate would look different, it proves that winning impacts norms."
20,1,conclusion_label,50,[conclusion_label] this means that,[Neg · reps K] What's the best answer to clash when answering plan focus?,"Clash is a non-starter in the context of a reps K because engaging in clash over racist research only reinforces and refines those racist tendencies, as shown by subject formation theory. This means that focusing on clash doesn't solve the problem but instead perpetuates the harmful representations the K critiques."
29,1,restatement_opener,60,[restatement_opener] The aff should get RVIs for two reasons.,[Aff · RVIs] Why should the affirmative get RVIs?,"The aff should get RVIs for two reasons. First, RVIs improve theory quality by discouraging frivolous theory shells since there's a risk of losing the round. Second, RVIs address skew by giving the aff a chance to gain offense on the same layer, balancing the time constraints of the 1AR, which otherwise has to handle both theory and substantive arguments."
32,1,conclusion_label,75,[conclusion_label] this undermines,[Neg · condo] Why should conditionality be a voting issue?,"Conditionality should be a voting issue because it turns counterplans into no-risk propositions, discouraging in-depth research and promoting 1NC sandbagging. This undermines engagement by reducing the substantive quality of debates. The skew from condo magnifies this impact, making the 2AR unmanageable when strategic 1AR time allocation is punished. Dispositionality is a better alternative because it allows the neg to kick by conceding defense or perms, while still enabling thorough testing with one advocacy per topic."
36,1,conclusion_label,58,[conclusion_label] this means that,"[Neg · condo] How do you answer the argument that conditionality increases information processing, which is best for education?","The argument that only the quality of information matters flips aff because condo allows the 1NC to present contradictory, no-risk advocacies, which disincentivizes nuanced engagement. This means that while condo might increase the quantity of information, it doesn't enhance educational value since the neg can avoid committing to any specific position, reducing the depth of analysis and understanding."
38,1,restatement_opener,75,[restatement_opener] The aff should have to provide a counter solvency advocate (CSA) when defending ,[Aff · theory] Why should the AFF have to provide a counter solvency advocate to their plan?,"The aff should have to provide a counter solvency advocate (CSA) when defending a plan other than the resolution to ensure fairness and clarity. First, without a CSA, the aff could specify infinite, uncontestable arguments, making it impossible for the neg to engage effectively. Second, a CSA helps clarify the aff's advocacy and implementation, preventing ambiguity and ensuring the neg can adequately respond. This requirement maintains balanced ground and limits, allowing for a fair debate."
45,1,restatement_opener,76,[restatement_opener] We should reject new 2AR weighing for three reasons.,[Neg · theory] Why should we reject 2AR weighing?,"We should reject new 2AR weighing for three reasons. First, it makes the 2NR impossible because the neg would have to preemptively respond to arguments that haven't been made yet. Second, it violates jurisdiction since the judge can't evaluate a debate where one side had no chance to answer those arguments. Third, the aff already had the chance to make weighing arguments in the 1AR, so allowing them in the 2AR rewards sandbagging and kills clash."
47,1,conclusion_label,85,[conclusion_label] this undermines,[General · theory] Why should we reject 1AR theory?,"Reject 1AR theory because it highlights unfairness rather than proving the plan's merit. First, it skews the 2NR by forcing them to overcover theory due to the 7/6, 2 speech structure, giving the 2AR an uncontested advantage. This makes theory inherently aff-biased and pushes the 2NR into poor strategic choices. Second, it invites judge intervention, either by always accepting 2AR responses or by making subjective decisions on argument strength. This undermines resolvability, as intervention leads to bias, making it impossible to overcome with better arguments."
48,1,restatement_opener,108,[restatement_opener] We should drop the argument on 1AR theory for several reasons.,[Aff · theory] Why should we drop the argument on 1AR theory?,"We should drop the argument on 1AR theory for several reasons. First, late-breaking theory benefits the aff because they have 3 minutes to expand on 3-second 1AR blips that might be missed. Second, ballot implications incentivize 1AR restarts, undermining the value of the NC substance. Third, it forces judge intervention, staking the debate on a brief shell that can be easily expanded. Fourth, focusing on topic education is more valuable than vague deterrence claims since we have limited time to learn but years to set norms. Finally, 2ARs can collapse to either theory or substance, while the neg has to split time and cover whatever the aff undercovers."
49,1,restatement_opener,74,[restatement_opener] We should use reasonability on 1AR theory because the aff needs to employ multip,[General · theory] Why should we use reasonability on 1AR theory?,"We should use reasonability on 1AR theory because the aff needs to employ multiple strategies to counter the neg's ability to collapse in the 2NR, which gives them a 7-6 rebuttal advantage. Additionally, the neg has two speeches to the aff's one, allowing them more opportunities to make implications and weighing arguments. Reasonability helps balance these structural advantages by allowing the aff to run multiple theory arguments without being overwhelmed by frivolous theory shells."
62,1,restatement_opener,77,[restatement_opener] We should get RVIs on 1AR theory for two reasons.,[General · RVIs] Why should we get RVIs on 1AR theory?,"We should get RVIs on 1AR theory for two reasons. First, skew: the 1AR can spend just 20 seconds on a shell and still win, forcing the 2NR to over-allocate time and dedicate at least a fifth of their speech to it. An RVI corrects this skew by letting the 2NR regain lost time. Second, norming: without RVIs, the 1AR can throw out shells as no-cost options, discouraging strong norms and leaving the 2NR with no recourse."
63,1,restatement_opener,61,[restatement_opener] We should use reasonability because offense-defense theory encourages debaters t,[General · theory] Why should we use reasonability?,"We should use reasonability because offense-defense theory encourages debaters to pursue arbitrary interpretations with minimal offense, detracting from substantive debate. Reasonability allows sufficient defense to be enough, focusing the debate on substantive issues where both sides have invested time and where the most learning occurs. By conceding from topicality, reasonability helps maintain a focus on the core arguments of the debate."
66,1,conclusion_label,91,[conclusion_label] fostering better clash,[General · PICs] Why are PICs good?,"PICs are good for three reasons. First, logic and clash: PICs show a part of the plan is flawed and should be excluded. Arbitrarily excluding legitimate neg is unpredictable and a slippery slope to excluding all counterplans. Second, neg flex: the aff chooses the plan and gets first and last speech, which is also terminal defense because we can only negate what the aff chooses to defend. Third, real world education: PICs mirror real-world policymaking, where bills are often amended, fostering better clash and understanding which is the only portable impact."
98,1,word_count,161,[word_count] 161 words (possibly padded),[General · RVIs] Why are RVIs good?,"RVIs are good for several reasons. First, reciprocity ensures equal access on the highest layer of the theory debate, preventing the neg from having an unfair advantage by only gaining offense from shells. Second, RVIs promote clash by discouraging bad theory arguments since the risk of losing to an RVI deters frivolous shells. Third, they uphold logic by rewarding the side that promotes a better model of debate. Fourth, RVIs set norms by preventing bad norms from forming through theory debates, as they add risk to running weak shells. Fifth, they address time skew because the aff must overcover the shell while the neg can collapse in the next speech. Sixth, RVIs mitigate strat skew since the aff has already invested prep and speech time on the shell, impacting their ability to focus on substance. Finally, RVIs ensure that theory is only used when there's actual abuse, as the neg must commit to their shell rather than engaging in frivolous debates."
102,1,restatement_opener,95,[restatement_opener] We should reject 1AR independent voting issues because they create a significant,[Neg · 1AR voting issues · 2NR] Why should we reject 1AR independent voting issues?,"We should reject 1AR independent voting issues because they create a significant time skew, allowing the aff to expand a brief argument into a lengthy collapse, regardless of the 2NR's focus. This encourages lazy debating by avoiding clash and incentivizing up-layering. Additionally, they give the aff a psychological advantage in the 2AR, as judges may favor their collapse. These issues present no risk for the aff, enabling them to introduce multiple arguments that split the 2NR's focus. Finally, they function as structural skews, turning short, low-risk arguments into massive NIBs that further divide the 2NR."
104,1,restatement_opener,51,[restatement_opener] We should evaluate the IVI debate after the 2NR for three reasons.,[Neg · IVI debate · 2NR] Why should we evaluate the IVI debate after the 2NR?,"We should evaluate the IVI debate after the 2NR for three reasons. First, reciprocity: both sides get one speech each, ensuring fairness. Second, psychology: it balances against overly persuasive 2ARs that might unfairly sway the judge. Third, intuition: if the 2NR arguments were truly problematic, the judge would intuitively reject them."
106,1,restatement_opener,51,[restatement_opener] We should reject combo shells because they don't generate consistent norms for f,[General · reject combo shells · 2NR] Why should we reject combo shells?,"We should reject combo shells because they don't generate consistent norms for future debates, which is essential for theory. Combo shells also encourage adding random planks, making it hard to generate counter-interp offense and quantify the abuse each plank addresses. Reading separate shells for each issue resolves their offense more effectively."
107,1,restatement_opener,51,[restatement_opener] We should use drop the argument because it's more real-world; you wouldn't face ,[General · DTA paradigm issues · 2NR] Why should we use drop the argument?,"We should use drop the argument because it's more real-world; you wouldn't face the death penalty for jaywalking. This approach lets us focus on substantive debate, which is crucial given we only have two months on the topic. There's no spillover reason why a violation should prevent engagement with other arguments."
110,1,restatement_opener,74,"[restatement_opener] The aff should get 1AR theory because otherwise, it leads to infinite abuse, and",[Aff · 1AR theory] Why should the aff get 1AR theory?,"The aff should get 1AR theory because otherwise, it leads to infinite abuse, and the 1AR's limited time can't adequately address all arguments. First, competing interps justify 1AR theory since the aff needs a fair chance to respond to the neg's strategy without being overwhelmed. Second, reasonability on 1NC theory is crucial because the 1AR's four minutes aren't enough to handle every argument, especially when facing infinite bidirectional interps that the aff can't meet."
112,1,restatement_opener,72,[restatement_opener] We should evaluate the debate after the 2AR because not doing so creates an unfa,[General · Debate Evaluation] Why should we evaluate the debate after the 2AR?,"We should evaluate the debate after the 2AR because not doing so creates an unfair time skew, disadvantaging the aff by giving the neg the last word. It would also be arbitrary to cut off evaluation before the 2AR, as it disrupts the balance of speech times and prevents the aff from fully responding to the 2NR. Evaluating after the 2AR ensures both sides have equal opportunity to make their final arguments."
113,1,restatement_opener,81,[restatement_opener] We should use comparative worlds over truth testing because it forces the neg to,[General · comparative worlds] Why should we use comparative worlds over truth testing?,"We should use comparative worlds over truth testing because it forces the neg to engage with the topic substantively rather than relying on low-quality resolution flaw arguments. Truth testing lets the neg disprove any part of the aff, requiring the aff to defend every part, which isn't reciprocal. Truth testing also implies that only the resolution matters, ignoring other important issues like making debate unsafe. Additionally, ""resolved"" in the resolution implies the issue has already been settled, which supports comparative worlds."
116,1,restatement_opener,58,[restatement_opener] We should focus on models in this debate because floating disadvantages don’t pr,[Aff · framework 2AR] Why should we focus on models in this debate?,"We should focus on models in this debate because floating disadvantages don’t provide offense unless they’re linked to a model that resolves them. By centering the debate on models, we ensure that arguments are grounded in a coherent framework that can address and mitigate potential issues, rather than relying on isolated disadvantages that lack a clear resolution mechanism."
124,1,conclusion_label,55,[conclusion_label] this allows,"[Neg · functionally intrinsic perms · 2NR] Why should we reject functionally intrinsic, textually non-intrinsic perms?","Reject functionally intrinsic, textually non-intrinsic perms because they turn debate into a word scramble by divorcing words from their context. This allows for infinite unpredictable perms, undermining engagement. Teams could exploit this by using large plan texts with all conjunctive nouns to connect phrases, making it impossible to predict or engage with their strategy effectively."
125,1,restatement_opener,68,[restatement_opener] We should reject delay counterplans because they allow the aff to straight turn ,[Neg · delay counterplans · 2NR] Why should we reject delay counterplans?,"We should reject delay counterplans because they allow the aff to straight turn or impact turn the CP's net benefit, while the neg can't do the same. Delay CPs push debates into the future, where the aff can resolve turns, like heg bad turns resolving after a geopolitical shift. Additionally, the aff inherently has uniqueness and reasons for immediate action, making them strategically equipped to beat delay CPs."
127,1,terminal_label,79,[terminal_label] This middle ground resolves cheating CPs while preserving neg ground.,[Neg · counterplan competition · 2NR] Why shouldn't competition be based on theory,"Competition shouldn't be based on theory because a CP can be competitive even if it's theoretically illegitimate. The neg doesn't have to win on ""Process CPs bad"" theory unless the aff proves a hypothetical delay CP is so bad that all CPs competing off immediacy should be rejected, which is arbitrary. This approach is a sliding scale, meaning the aff must win theory on the specific CP in question. This middle ground resolves cheating CPs while preserving neg ground."
137,1,restatement_opener,77,[restatement_opener] We should reject RVIs for two reasons.,[Neg · No RVIs] Why should we reject RVIs?,"We should reject RVIs for two reasons. First, they create a chilling effect: the aff can prep a long counterinterp in the 1AR and then collapse and weigh in the 2AR, discouraging negs from reading theory against skilled debaters, leading to infinite abuse. Second, RVIs are illogical because ""I'm fair, vote for me"" doesn't make sense; you don't win just for being fair. Logic is crucial on theory since all arguments must be coherent to be evaluated."
141,1,restatement_opener,80,[restatement_opener] We should use drop the argument (DTA) on theory for three reasons.,[General · Drop the Argument] Why should we use drop the argument on theory?,"We should use drop the argument (DTA) on theory for three reasons. First, proportionality: penalizing small fairness violations with a loss is excessive, like giving the death penalty for stealing candy. Second, topic education: DTA allows us to still engage with the topic and gain educational value, while drop the debater (DTD) sacrifices this for minor infractions. Third, theory norming: DTD undermines theory's legitimacy by incentivizing its use for marginal violations, which doesn't establish meaningful norms and diminishes theory's value."
144,1,restatement_opener,67,[restatement_opener] We should use reasonability because it prevents debaters from winning with margi,[General · reasonability] Why should we use reasonability?,"We should use reasonability because it prevents debaters from winning with marginal offense on regressive shells. By setting a brightline for what constitutes a reasonable argument, you can focus on defending the strength of your interpretation rather than getting bogged down by frivolous or harmful shells. This approach allows you to effectively win on solid defense, like near terminal defense, without being overwhelmed by weak offensive claims."
145,1,restatement_opener,52,[restatement_opener] We should reject reasonability because it's arbitrary and forces judge intervent,[General · reasonability] Why should we reject reasonability?,"We should reject reasonability because it's arbitrary and forces judge intervention. It allows the 2AR to recontextualize arguments to always appear as the more reasonable side, which skews the debate and undermines fairness. This subjectivity can lead to unpredictable outcomes and gives undue power to the judge's perception rather than objective standards."
147,1,conclusion_label,65,[conclusion_label] this means that,[General · reasonability collapses] Why does reasonability collapse to competing interpretations?,"Reasonability collapses to competing interpretations because you end up using an offense/defense paradigm to evaluate brightlines. This means that instead of just determining if something is reasonable, you compare competing standards to see which one provides a clearer or more predictable guideline. The need to weigh these standards against each other inherently shifts the debate from a simple reasonability check to a contest of interpretations."
159,1,defines_basic_terms,57,[defines_basic_terms] which means ,[Neg · T] Why does topicality outweigh?,"Topicality outweighs because if the aff isn't topical, they're not truly affirming the resolution, which means they haven't fulfilled their burden. The ballot is about who did the better debating within the constraints of the resolution. If the aff isn't topical, they haven't engaged with the resolution as required, so you can't evaluate their debating as better."
161,1,restatement_opener,74,[restatement_opener] We should prefer a norms creation model over an in-round abuse model for three r,[General · norm setting vs in round abuse] Why should we prefer a norms creation model over an in round abuse model of competing interpretations?,"We should prefer a norms creation model over an in-round abuse model for three reasons. First, resolvability: it's impossible to quantify in-round abuse since it's intangible, so we need to evaluate if the norm itself is beneficial. Second, norm setting: without it, debaters could exploit the system with arbitrary defenses, undermining the purpose of theory. Third, accessibility: a norms-focused approach fosters a safer debate environment, enhancing accessibility, which is crucial for the activity's viability."
163,1,restatement_opener,72,[restatement_opener] We should prefer text over spirit in theory debates for two main reasons.,[General · Text over Spirit] Why should we prefer text over spirit in theory debates?,"We should prefer text over spirit in theory debates for two main reasons. First, verifiability: the spirit of an argument is subjective and unverifiable, leading to irresolvable rounds and potential infinite abuse as debaters could claim any spirit they want. Second, a double bind: if judges evaluate arguments not made, they could unfairly assess content not in the round; if they don't, then spirit can't be evaluated as it wasn't explicitly stated."
166,1,word_count,148,[word_count] 148 words (possibly padded),[Neg · meta theory · 2NR] Why should we reject meta theory arguments in the 1AR?,"You should reject meta theory arguments in the 1AR for several reasons. First, it incentivizes abuse by allowing debaters to bait theory and then pivot to meta theory, undermining fairness and setting bad norms. Second, it leads to infinite regress, making rounds irresolvable since meta theory can endlessly stack shells, which is unworkable because debates need clear winners. Third, meta theory is unreciprocal, giving the aff a structural advantage by allowing them to read it in both the 1AR and 2AR, which skews fairness. Fourth, even if meta theory is relevant, it should only be a reason to drop the argument, not the debater, since it doesn't prove substantive skew. Fifth, it kills clash by encouraging a race to the highest layer, detracting from education and advocacy skills. Lastly, logic dictates that theory violations arise from substantive arguments, not other theory, so meta theory doesn't preclude normal theory."
167,1,restatement_opener,107,[restatement_opener] We should reject combo shells because they create strat skew and are functionall,[General · reject combo shells] Why should we reject combo shells?,"We should reject combo shells because they create strat skew and are functionally NIBs. First, with multiple planks, the neg can claim any single practice is bad, forcing the aff to defend every plank individually. This makes it impossible for the aff to win on isolated good practices since each can be deemed bad in combination. Second, combo shells complicate resolvability because winning offense on one plank doesn't help if the neg wins on another, making it impossible to weigh them. Third, they fail at norm setting since the likelihood of the same abuse occurring in other rounds is low, given the multitude of practices they target."
169,1,restatement_opener,108,[restatement_opener] We should reject 1AR theory because it creates a time skew that unfairly advanta,[Neg · 1AR theory] Why should we reject 1AR theory?,"We should reject 1AR theory because it creates a time skew that unfairly advantages the aff. A] The aff gets 7 minutes across the 1AR and 2AR compared to the neg's 6-minute 2NR, giving them a significant advantage in the theory debate. B] The 2AR's 3 uncontested minutes let the aff collapse to dropped arguments, making it impossible for the neg to cover everything. C] It invites judge intervention by forcing new responses to the counterinterp, which is worse than infinite abuse since it relies on judge discretion instead of in-round arguments. These factors mean the neg's abuse outweighs the aff's, leading to an auto-loss for the aff."
171,1,restatement_opener,63,[restatement_opener] We should evaluate the 1AR theory debate directly after the 2NR because it ensur,[Neg · 1AR theory] Why should we evaluate the 1AR theory debate directly after the 2NR is over?,"We should evaluate the 1AR theory debate directly after the 2NR because it ensures reciprocity and prevents infinite abuse. [a] Reciprocity means both sides get one speech on the theory shell, avoiding a 2-1 skew. [b] Infinite abuse occurs if the 2AR can respond without a 3NR, letting the aff always win by default since the neg can't defend their model of debate."
173,1,restatement_opener,91,[restatement_opener] We should evaluate the theory debate after the 2NR for three reasons.,[Neg · theory debate · 2NR] Why should we evaluate the theory debate after the 2NR?,"We should evaluate the theory debate after the 2NR for three reasons. First, the neg doesn't have a 3NR to respond to the 2AR, so the 2NR must address both forward and backward-looking arguments, complicating collapse. Second, it's a double bind: if the 2AR argument is new, it shouldn't be evaluated because the neg can't respond; if it was in the 1AR, it doesn't matter if we evaluate after the 2NR. Third, 2AR weighing will be new and conceded, leading the judge to give it undue weight without a neg response."
175,1,conclusion_label,101,[conclusion_label] which outweighs; outweighs on magnitude,[Neg · spec truth testing vs. theory · 1AR] How should I format a shell that argues the aff must spec truth testing vs. theory,"The shell should argue that if the 1AC reads a truth testing ROB, they must specify whether it precludes theory or allow the neg to clarify it. The violation is that they didn't specify. Standards: [1] Shiftiness – If the 1N reads theory, the 1AR can claim TT precludes it, negating the neg's theory ground. If the 1N doesn't read it, the aff exploits this, which outweighs on magnitude as it ensures aff wins. [2] Norming – Forces debates to focus on whether TT precludes theory, making the 1N over-allocate on TT and under-cover theory, undermining theory as a norm-setting tool."
