line,flag_count,flags,word_count,details,input,output
177,1,word_count,181,[word_count] 181 words (possibly padded),[Aff · full theory shell] How do I format a shell arguing that the aff must specify how their offense links under their role of the ballot,"To format a shell arguing that the aff must specify how their offense links under their role of the ballot, start with the interpretation: the aff must explicitly specify a comprehensive advocacy text in the 1AC, clarifying how their offense links to the role of the ballot, whether it's post-fiat or pre-fiat offense, and provide a clear explanation of the advocacy’s actor, action, and object. Violation: they didn’t. Standards: 1. Engagement – Knowing their advocacy is essential for making meaningful arguments. Our interp ensures relevance to your method, and distinguishing pre-fiat or post-fiat offense sets a standard for relevance. This is crucial for kritikal affs, where norms are unclear. Impacts: a) Education – Without clear advocacy, we miss learning opportunities and hinder novice inclusion. b) Link turns the aff – Your impacts rely on engaging with oppression, but lack of clash undermines credibility. c) Strategy Skew – Ambiguity allows recontextualizing advocacy to dodge links and offense in the 1AR. Framing: The aff can't exclude my shell; it just constrains how they read their advocacy. If I win comparative offense, the shell"
179,1,conclusion_label,100,[conclusion_label] this undermines,[Aff · full theory shell] How do I format a shell arguing that conditionality is a voting issue?,"To format a shell arguing that conditionality is a voting issue, start with the interp and violation: advocacies must be unconditional, and theirs isn’t. Vote aff to rectify skew: [a] they force the 1AR to debate themselves, like reading a CP that solves heg while also turning heg on case, making the 1AR contradict itself, allowing the 2NR to cherry-pick; [b] clash double bind—if I overcover, they kick out of my offense, killing the 1AR's time, and if I undercover, they go for it. This undermines education because arguments are under-contested. Dispo solves by balancing neg flex and 1AR decision-making."
190,1,word_count,144,[word_count] 144 words (possibly padded),[Aff · framework ks theory · 1AR] How should I format a theory shell against neg framework Ks?,"To format a theory shell against neg framework Ks, start with this interpretation: The neg can't derive a route to the ballot based on flaws in the aff framework, meaning framework Ks are bad. Violation: The neg does this by attacking the aff framework. Vote aff for three reasons. First, reciprocity: they can win by disproving the aff framework, but we must win both framework and substance, creating a 2-1 burden. This outweighs due to strength of link and structural abuse, which skews evaluation. Second, strat skew: they moot half of the AC, harming substance education and limiting us to defending the aff framework even if the counter-framework affirms, acting like floating PIKs. Third, ideological flex: frameworks are dispo if defense or an alt is offered, but forcing us to stick with a flawed framework causes ideological polarization, which turns and outweighs the K."
194,1,conclusion_label,51,[conclusion_label] this means that,[General · metatheory first] Why does metatheory matter in evaluating our shell?,"Metatheory matters in evaluating your shell because it questions the epistemic validity of the shell itself. If metatheory comes first, it challenges the foundational assumptions of your shell, potentially rendering it invalid before any substantive evaluation. This means that any arguments about the shell's content are secondary to the metatheoretical critique."
199,1,restatement_opener,39,[restatement_opener] We should reject out of round violations and screenshots because they are unveri,[General · reject out of round violations] Why should we reject out of round violations and screenshots?,"We should reject out of round violations and screenshots because they are unverifiable and susceptible to manipulation, like using inspect element. This forces judges to intervene and opens the door for dishonest claims about disclosure violations, which is unfair."
202,1,conclusion_label,124,[conclusion_label] this ensures,[Neg · conditionality · 2NR] How should I format a response to conditionality bad?,"To respond to ""conditionality bad,"" start with a counterinterp: the neg may read one or more conditional counterplans. Conditionality is good for several reasons. First, neg flex: the neg needs strategic flexibility in the 1NC, while the aff has infinite prep and can adjust in the 1AR. This ensures the aff is tested from multiple angles, maintaining competitive balance. Second, ideological flexibility: defending positions from multiple angles helps debaters justify arguments and engage with diverse perspectives, which is crucial in polarized political climates. Third, 1AR strategic thinking: condo forces the 1AR to make strategic decisions, enhancing critical thinking skills. Finally, neg ground: requiring unconditional counterplans would either eliminate counterplans or force the neg to rely on T and theory, harming debate quality and education."
205,1,conclusion_label,85,[conclusion_label] which outweighs,[Neg · Condo AT Time Skew · 2NR] How do I answer the argument that conditionality cuses strat skew?,"Conditionality doesn't cause strat skew because conditional perms check abuse. The aff has multiple conditional worlds, which outweighs neg condo. A) Strategy: The aff gets the final choice in the 2AR and can shift focus from the plan. B) Time: Counterplans take 2 minutes to read, while the perm takes half a second. C) Burdens: The neg needs a net benefit, but the perm doesn't. Turn: Condo lets the aff use one advantage to counter multiple neg worlds. No impact: Both sides have 13 minutes."
210,1,restatement_opener,71,[restatement_opener] We should reject 1AR voting issues because the aff already has significant advan,[Neg · 1AR voting issues · 1NC] Why should we reject 1AR voting issues?,"We should reject 1AR voting issues because the aff already has significant advantages in the debate. First, they have infinite prep time before the AC, allowing them to frame the debate and script the 1AR perfectly. Second, the aff can be highly abusive in the 1AR, and judges are often hesitant to vote on 2N theory due to the 6-3 time skew, which further tilts the debate in the aff's favor."
211,1,restatement_opener,102,"[restatement_opener] We should reject 1AR theory because it skews the debate in favor of the aff, who",[Neg · 1AR theory · 1NC] Why should we reject 1AR theory?,"We should reject 1AR theory because it skews the debate in favor of the aff, who already speaks first and last and has unlimited prep time. Introducing new layers in the 1AR forces the 2NR to overcover, risking a 3-minute 2AR collapse on any layer. This necessitates judge intervention, making decisions arbitrary. The neg only has one chance to respond, while the aff gets two, creating an unfair advantage. Additionally, fear of 1AR meta-theory deters the 1NC from checking abuse, undermining fair engagement. Finally, claims of infinite abuse are exaggerated; spikes and functional limits provide sufficient checks within the debate's time constraints."
218,1,restatement_opener,59,[restatement_opener] We should reject new paradigm issues after the 1NC for three reasons.,[Neg · new paradigm issues · 2NR] Why should we reject new paradigm issues after the 1NC?,"We should reject new paradigm issues after the 1NC for three reasons. First, allowing them encourages endless sandbagging in the 1AR, which splits the 2NR. Second, the 1NC is crafted with the current paradigm issues in mind, so introducing new ones disrupts strategic planning. Third, introducing paradigm issues in the aff allows for more rigorous testing throughout the debate."
219,1,restatement_opener,56,[restatement_opener] We should use competing interpretations because reasonability invites arbitrary ,[General · competing interps over reasonability] Why should we use competing interpretations?,"We should use competing interpretations because reasonability invites arbitrary judge intervention due to the lack of a clear standard for what's reasonable. Without knowing the judge's ""bs meter,"" decisions become unpredictable. Additionally, reasonability often collapses into competing interps anyway, as both approaches ultimately require establishing clear brightlines under an offense-defense paradigm, similar to comparing two interpretations."
220,1,restatement_opener,79,[restatement_opener] We should reject RVIs for four reasons.,[General · no RVIs] Why should we reject RVIs?,"We should reject RVIs for four reasons. First, they're illogical because fairness is just a prerequisite for engaging in substance, not a reason to win. Second, they create bad norms since you can't concede the counterinterp if you realize you're wrong. Third, RVIs have a chilling effect by forcing you to split your 2AR, preventing effective collapsing against the 2NR. Fourth, they harm topic education by encouraging 1AR blipstorm scripts instead of focusing on substantive debate after resolving theory."
221,1,defines_basic_terms,57,[defines_basic_terms] which means ,[Neg · fairness · 2NR] Why are fairness and jurisdiction voters?,"Fairness is a voter because it's essential to debate; without it, you can't engage with the aff, which means no education can occur. Jurisdiction is a voter because judges can't vote on the aff if it isn't topical. Both fairness and jurisdiction are foundational to ensuring the debate functions properly and that the judge's role is respected."
222,1,restatement_opener,64,[restatement_opener] We should reject RVIs for three reasons.,[General · no RVIs] Why should we reject RVIs?,"We should reject RVIs for three reasons. First, they encourage theory baiting and discourage checking real abuse. Second, RVIs are illogical because you don't win for being fair; logic is a meta-constraint that comes lexically prior to substantive arguments. Third, there's a double bind: either the theory shell is unwarranted and easy to answer, or it stands because there's actual abuse in the round."
224,1,restatement_opener,67,[restatement_opener] We should reject the act-omission distinction for two main reasons.,[General · Yes Act-Omission Distinction] Why should we reject the act-omission distinction?,"We should reject the act-omission distinction for two main reasons. First, without this distinction, you'd be responsible for every omission, leading to infinite obligations, like being culpable for not curing cancer right now. Second, in scenarios like the Trolley Problem, the distinction lets us avoid blame in unavoidable situations. If omissions were culpable, we'd always be wrong, making morality inaccessible and preventing agents from taking moral actions."
227,1,restatement_opener,47,[restatement_opener] We should reject the use of induction to justify actions because induction relie,[General · induction fails] Why should we reject the use of induction to justify actions?,"We should reject the use of induction to justify actions because induction relies on the assumption that past events will repeat in the same way, which isn't guaranteed. This creates a circular reasoning problem: using inductive reasoning to justify itself doesn't provide a solid foundation for predictions."
228,1,defines_basic_terms,79,[defines_basic_terms] which means ,[General · consequences] Why do consequences fail as a basis for ethics?,"Consequences fail as a basis for ethics because they lead to endless causal chains with no clear endpoint, making it impossible to determine when a consequence truly ends. We can't predict consequences with certainty before they happen, so they can't guide our actions effectively. Additionally, the ability to shift our desires makes consequence-based ethics escapable and circular. Circumstances constantly change, complicating our ability to gather enough information to predict outcomes, which means ethical calculations become impractical and halt decision-making."
246,1,defines_basic_terms,92,[defines_basic_terms] which means ,[General · Kant] How do Kantians respond to the schmagency objection?,"Korsgaard's response is that the schmagent is self-undermining: to ask 'why be rational?' is already to engage in rational deliberation, which means you're already committed to giving and responding to reasons — a schmagent who reasons about whether to care about rationality has already abandoned the schmagent position. The deeper response is that the regress isn't unique to Kant: every normative theory faces 'why care?' and Kant's answer — rationality is constitutive of agency itself — is more fundamental than 'because it maximizes welfare,' which just pushes the question back a step."
249,1,defines_basic_terms,91,[defines_basic_terms] is a form of ,[General · Kant] What is constitutivism and how does it ground Kantian ethics?,"Constitutivism holds that moral norms are constitutive of rational agency — not external constraints but standards implicit in what it means to be an agent at all. Korsgaard's version argues the CI is binding because acting against it undermines your agency's own unity: a lying agent deploys reasons she simultaneously repudiates, which is a form of self-destruction. The payoff in debate is that constitutivism sidesteps the 'why be moral?' challenge — if morality is built into agency itself, opting out means opting out of being an agent, not just being irrational."
272,1,defines_basic_terms,94,[defines_basic_terms] which means ,[General · Levinas] How does Levinas differ from Kant and why does universal law miss the particular Other?,"Kant grounds ethics in universalizability — the maxim must hold for all rational beings equally, which means particular individuals matter only insofar as they instantiate the universal. Levinas argues this makes ethics start in the wrong place: the particular face of this Other, here, now, is the ethical event, and any universal law is already an abstraction that has lost it. The Kantian move to universalize is itself a form of totalization, replacing the singular with a category. For Levinas, ethics cannot be derived top-down from reason; it must begin in the irreducible encounter."
309,1,conclusion_label,80,[conclusion_label] this undermines,[General · util] What is the butterfly objection to consequentialism?,"The butterfly objection holds that consequentialism is useless as an action-guide because causal chains are too complex to predict—even well-intentioned acts can cascade into catastrophes we couldn't foresee, meaning we can never know which action actually maximizes welfare. The problem is structural: if we can't know consequences, we can't know what's right under consequentialism. This undermines the framework unless utilitarians retreat to rule-based proxies, which look increasingly like deontological constraints and lose the distinctive consequentialist claim that only outcomes matter."
357,1,word_count,31,[word_count] 31 words (too sparse),[General · lexicality] Why claim some values are lexically prior?,Lexical priority says certain violations are impermissible no matter how large the aggregated benefits elsewhere—torture for paradise remains out of bounds. That blocks counterintuitive tradeoffs a single utilitarian number would permit.
366,1,defines_basic_terms,81,[defines_basic_terms] refers to ,[General · is–ought · naturalism] How do naturalists respond to the is–ought gap?,"Naturalists close the gap by denying moral properties are metaphysically distinct from natural ones—if ‘wrongness’ rigidly refers to whatever natural property fills the wrongness causal role, then ‘ought’ follows from ‘is’ the way ‘is charged’ follows from microphysics. A weaker version reframes ‘ought’ as shorthand for what satisfies standards implicit in practical reasoning, so the gap only marks missing premises about goals, not a fundamental divide. The debate hinge is whether those bridging moves are principled or just hidden normative premises."
376,1,defines_basic_terms,60,[defines_basic_terms] refers to ,[General · naturalism] What is synthetic naturalism?,"Synthetic naturalism identifies moral properties with natural ones through empirical identity rather than analytic equivalence—‘wrongness’ rigidly refers to whatever natural property fills the moral causal role, just as ‘heat’ refers to mean kinetic energy rather than to a concept. This defuses Moore’s open-question argument because cognitive openness doesn’t entail metaphysical distinctness: ‘Is mean kinetic energy actually hot?’ feels open too."
403,1,word_count,26,[word_count] 26 words (too sparse),[Aff · permissibility] Why does permissibility affirm under comparative world?,"The aff answers permissibility triggers by arguing that permissibility affirms under comparative worlds: if the neg can't prove the action is prohibited, voting neg is unjustified."
437,1,defines_basic_terms,92,[defines_basic_terms] refers to ,[General · cap K] What is socialism and how does it differ from typical cap K alternatives?,"Socialism in debate usually refers to collective or democratic ownership of the means of production — workers own their firms, or the state owns key industries, rather than private capital. It differs from typical cap K alts in that socialism usually preserves a market mechanism for consumer goods while eliminating private capital accumulation, whereas cap K alts often go further, calling for rejection of the entire commodity form. In practice, the distinction matters for solvency: socialist markets still have profit motive and growth pressure, while fully non-market alts face the coordination problem."
447,1,defines_basic_terms,92,[defines_basic_terms] refers to ,[General · nuclearism K] What is nuclearism and why is nuclear deterrence logic dangerous?,"Nuclearism refers to the ideological and institutional commitment to nuclear weapons as the foundation of security — the belief that nuclear deterrence is not just a policy but a rational necessity that cannot be questioned without endangering stability. The K argues this logic is dangerous because it normalizes the permanent threat of human extinction as an acceptable condition of political order, crowds out disarmament by treating it as naive, and creates a self-sustaining arms complex with institutional interests in proliferation. Deterrence works until it doesn't, and the consequences of failure are irreversible."
470,1,defines_basic_terms,80,[defines_basic_terms] which means ,[General · colorblindness K] Why does the colorblindness K argue that ignoring race reproduces racial hierarchy?,"Colorblindness reproduces racial hierarchy because it treats formally equal procedures as substantively equal despite a history of systematic exclusion that still shapes every material condition. When you refuse to see race, you refuse to see the accumulated effects of anti-blackness, which means those effects continue compounding without intervention. The K links to race-neutral affs: by claiming to transcend race, they entrench the structures that make race matter, because those structures are invisible to a framework that refuses to name them."
478,1,defines_basic_terms,101,[defines_basic_terms] which means ,[Aff · afropessimism] How does the aff respond to general dishonor as a pillar of social death?,"The general dishonor claim proves too much — if Black people are permanently incapable of accumulating social standing regardless of circumstance, it renders the K unfalsifiable and collapses into a closed system immune to evidence. Turn the impact: if dishonor is total and structural, then even winning the ballot doesn't restore standing, which means the K provides no mechanism for change and the aff's material gains are strictly preferable. You can also press that the claim erases Black agency — the premise that no Black social act can generate honor is itself a form of the erasure Afropessimism claims to critique."
480,1,defines_basic_terms,100,[defines_basic_terms] refers to ,[General · afropessimism] What is the libidinal economy and why does it matter for the anti-blackness K?,"The libidinal economy refers to the psychic and affective investments — the desires, pleasures, and anxieties — that structure anti-Black civil society at an unconscious level. Wilderson argues that anti-blackness is not just a material arrangement of resources and rights but a libidinal one: civil society derives coherence and psychic pleasure from Black abjection, which is why reform is insufficient. You can't redistribute your way out of a structure of desire. The K uses this to block utilitarian frameworks — even if the aff improves Black material conditions, it cannot address the libidinal investment that makes those conditions continually reproduced."
493,1,defines_basic_terms,96,[defines_basic_terms] which means ,[Aff · psychoanalysis K] What is the nonfalsifiability objection to psychoanalysis and how do you run it in the 2AR?,"Popper's objection is that psychoanalysis makes no falsifiable claims: if a patient confirms the analyst's interpretation, the theory is verified; if they deny it, the denial is itself interpreted as resistance — confirmation again. A theory that cannot in principle be refuted makes no empirical claims and has no explanatory power. In the 2AR, run this as a framework issue: the neg's entire K is built on a self-sealing structure where any aff response can be reinterpreted as further evidence, which means the judge has no basis for evaluating the K's claims against the aff's evidence."
531,1,defines_basic_terms,63,[defines_basic_terms] which means ,[General · Anthropocentrism K] How do I answer an anthropocentrism K?,"Answer anthropocentrism Ks with an impact turn: Most environmental policy requires human institutional buy-in, which means anthropocentric framing is a strategic necessity, not a moral commitment. Press on the alt: if decentering the human subject is the solvency mechanism, how does it actually stop deforestation or species extinction? No mechanism, no alt solvency — you're just shifting rhetorical registers while the crisis continues."
547,1,word_count,162,[word_count] 162 words (possibly padded),[General · settler colonialism K] What are Tuck and Yang's settler moves to innocence?,"Tuck and Yang identify six moves settlers make to evade the material demand of decolonization. Settler nativism — the Indian-grandmother complex — involves claiming a distant Indigenous ancestor to deflect a settler identity, while continuing to occupy stolen land. Settler adoption fantasies hold that white people can ""go native"" through adoption into an Indigenous community, treating Indigeneity as a transferable identity rather than a political, land-based relationship. Colonial equivocation uses ""decolonization"" as a metaphor for unrelated social justice work, diluting the specific demand of land repatriation. Conscientization reduces decolonization to an internal mental or academic project rather than a material change in land ownership. A(s)t(e)risk peoples treats Indigenous nations as at-risk data-set minorities rather than sovereign entities, allowing settlers to ignore ongoing occupation. Re-occupation and urban homesteading lets settlers claim a native-like relationship to land through eco-activism, recentering the settler without relinquishing title. Every move redirects away from land — which Tuck and Yang insist is the only non-metaphorical site of decolonization."
571,1,conclusion_label,81,[conclusion_label] this allows,[General · Kritik] How do root cause arguments work on the K?,"Root cause arguments claim that the structural logic the K identifies — capitalism, anthropocentrism, white supremacy — produces the aff's harms as downstream effects, so the plan doesn't fix anything because the root cause persists. The mechanism is that surface-level policy interventions are epiphenomenal: they treat symptoms without touching the underlying system that regenerates those symptoms. This allows the negative to argue that the aff's impacts are non-unique because the root cause guarantees they'll recur regardless of what the plan does."
597,1,defines_basic_terms,60,[defines_basic_terms] which means ,[General · topicality] What is extra-topicality?,"Extra-topicality is when the aff's plan does more than the resolution requires — they're topical as far as the resolution goes, but they've added a plank that the resolution doesn't authorize. The story is that the aff gains advantages from non-topical plan elements, which means the neg must answer solvency arguments grounded in things outside the topic which is unpredictable."
598,1,defines_basic_terms,85,[defines_basic_terms] is when the aff ,[General · topicality] What is effects topicality?,"Effects topicality is when the aff claims to be topical only through a causal chain — the plan itself isn't a resolutional action, but its downstream effects produce something topical. It's abusive because it allows the aff to avoid the literal meaning of the resolution by deferring topicality to speculative second-order consequences. This expands the topic dramatically: any policy could be 'topical' if you trace effects far enough. The neg should argue that topicality must apply to the plan action itself, not its hypothetical results."
636,1,defines_basic_terms,89,[defines_basic_terms] which means ,[General · skep triggers] Why should we reject skep triggers?,"Skep triggers are a voting issue on two independent grounds. First, they're morally repugnant: a trigger that says moral claims are unknowable or false sanctions atrocities — if skepticism is true, there's no reason to reject genocide or torture, which means voting for skep endorses that conclusion. Second, they function as functional NIBs — the neg only has to win one trigger for the round to become undecidable, while the aff must beat every single one, creating an unbounded offensive asymmetry that has nothing to do with the resolution."
656,1,word_count,23,[word_count] 23 words (too sparse),[Neg · impact calculus · 2NR] How do I pair timeframe with a turns-case argument?,"Run timeframe as a sequencing argument: your impact happens first, which collapses the ability to solve your opponent's impact or directly causes it."
663,1,word_count,24,[word_count] 24 words (too sparse),[General · non-unique] What is a non-unique and when does it beat a disadvantage?,"A non-unique argues that the disadvantage's impact happens in the status quo regardless of the plan, so the plan can't be blamed for it."
669,1,word_count,159,[word_count] 159 words (possibly padded),"[General · perm theory] What are textually intrinsic, functionally non-intrinsic permutations?","Textually intrinsic, functionally non-intrinsic permutations change the wording of the plan without altering its substantive function. These perms modify the plan's text to dodge net benefits by addressing the CP's semantics rather than its function. The most common example of the utility of this permutation is if the negative reads a semantically-tricky counterplan like ""The United States ought to first-strike North Korea if and only if [the plan is implemented]"". In this case, the negative artificially generates a net benefit that's clearly not germane to the plan - a functional NFU policy that prevents the U.S. from first striking North Korea - while semantically preventing 'permutation do both'. The affirmative can employ a textually intrinsic, functionally non-intrinsic permutation that does the plan and implements a functional NFU mandate - the United States ought not first-strike North Korea. This approach keeps the plan and counterplan's function intact while changing the text to permute a CP that relies on semantic tricks."
682,1,defines_basic_terms,62,[defines_basic_terms] refers to ,[General · condo] what is conditionality and why is it a voter,"Conditionality refers to the negative practice of reading at least one advocacy and being able to drop it at any point. It's a voter because it forces the aff to cover multiple conditional worlds, making the debate unfair by spreading the 1AR too thin, allowing the 2NR to collapse on the most undercovered positin and leaving the 2AR with an unmanageable burden."
683,1,restatement_opener,63,[restatement_opener] We should prioritize terms of art on topicality because they ensure precision an,[General · topicality] why should we prioritize terms of art on topicality?,"We should prioritize terms of art on topicality because they ensure precision and stability in debates. Terms of art have specific meanings within a field, providing a clear, shared understanding of the resolution for both teams. This predictability limits the range of possible affs to those aligning with established interpretations, allowing the neg to prepare effectively and maintaining competitive fairness and educational value."
684,1,conclusion_label,81,[conclusion_label] this undermines,[General · induction] What is induction fails and why does it undermine naturalistic frameworks?,"Induction fails because it's circular: it uses itself to justify itself by arguing that past trends will continue to hold true in the future because they have always done so. This undermines naturalistic frameworks because they rely on induction to derive moral properties from natural ones. Without a non-circular basis to ensure that past observations predict future moral truths, naturalistic attempts to bridge the is-ought gap become unstable, as they depend on inductive reasoning to connect empirical observations to moral conclusions."
703,1,word_count,33,[word_count] 33 words (too sparse),[General · DA] What does uniqueness mean and why does it matter?,"Uniqueness is a component of a disadvantage that shows the impact isn't occurring in the status quo. Without uniqueness, the plan doesn't cause anything new or unique because the impact would happen anyway."
709,1,restatement_opener,57,[restatement_opener] We should prioritize reasonability over competing interpretations because it pre,[General · theory] Why should we prioritize reasonability over competing interpretations in our framework arguments?,"We should prioritize reasonability over competing interpretations because it prevents debates from devolving into a search for minor violations. Competing interps encourages debaters to exploit the smallest infractions, which shifts focus away from substantive argumentation and topic education. Reasonability promotes a more balanced approach by allowing for flexibility and context, reducing the likelihood of frivolous theory debates."
